full_name;m  ;*=Y   ;Date/Time   ;IP max  ;PS max ;TS  ;Vel km/s ;Years     ;IP cum   ;PS cum ;a;e;i;om;w;q;ad;per_y;data_arc;condition_code;n_obs_used;n_del_obs_used;n_dop_obs_used;H;pha;spkid;pdes;name;prefix;neo;sats;G;M1;M2;K1;K2;PC;diameter;extent;albedo;rot_per;GM;BV;UB;IR;spec_B;spec_T;H_sigma;diameter_sigma;orbit_id;epoch;epoch_mjd;epoch_cal;equinox;ma;n;tp;tp_cal;per;moid;moid_ld;moid_jup;t_jup;sigma_e;sigma_a;sigma_q;sigma_i;sigma_om;sigma_w;sigma_ma;sigma_ad;sigma_n;sigma_tp;sigma_per;class;producer;first_obs;last_obs;rms;two_body;A1;A1_sigma;A2;A2_sigma;A3;A3_sigma;DT;DT_sigma
2020AC1;8 ;*    ;2121-01-02 02:30 ;1.53E-6 ;-7.90 ;0 ;12.81  ;2110-2121 ;3.51E-6 ;-7.52 ;0.8601;0.2202;5.99;282.31;38.08;0.671;1.05;0.798;10;6;70;;;28.39;N;3973542;2020 AC1;;;Y;0;;;;;;;;;;;;;;;;;0.28;;8;2461000.5;61000;2025-11-21.0;J2000;257.75;1.236;2461083.25;2026-02-11.7;291;0.00346;1.35;4.16;6.84;1.5e-04;4.6e-05;1.7e-04;5.9e-03;4.7e-04;1.1e-02;2.9e-01;5.6e-05;9.9e-05;2.4e-01;2.3e-02;ATE;Otto Matic;2020-01-04;2020-01-14;.37474;;;;;;;;;
2020UA;8 ;*    ;2076-10-19 12:53 ;5.65E-7 ;-8.06 ;0 ;13.22  ;2070-2119 ;1.11E-6 ;-7.78 ;0.8589;0.2729;1.94;27.68;137.67;0.625;1.09;0.796;4;4;68;;;28.44;N;54073339;2020 UA;;;Y;0;;;;;;;;;;0.044;;;;;;;0.38;;8;2461000.5;61000;2025-11-21.0;J2000;26.16;1.238;2460979.37;2025-10-30.8;291;5.84e-05;0.0227;3.88;6.84;9.9e-06;1.7e-05;4.4e-06;6.2e-04;1.4e-04;5.6e-03;7.0e-02;2.2e-05;3.8e-05;5.6e-02;8.8e-03;ATE;Otto Matic;2020-10-16;2020-10-20;.41334;;;;;;;;;
2021VB2;8 ;*    ;2072-11-08 23:14 ;4.62E-5 ;-6.03 ;0 ;13.90  ;2072-2072 ;7.04E-5 ;-5.85 ;1.607;0.4230;4.83;226.73;217.81;0.927;2.29;2.04;2;7;41;;;28.34;N;54216277;2021 VB2;;;Y;0;;;;;;;;;;;;;;;;;0.35;;8;2461000.5;61000;2025-11-21.0;J2000;338.20;0.4837;2461045.56;2026-01-05.0;744;0.000679;0.264;2.98;4.24;1.8e-04;4.9e-04;9.2e-06;1.6e-03;8.2e-04;3.5e-03;3.1e-01;6.9e-04;2.2e-04;6.5e-01;3.4e-01;APO;Otto Matic;2021-11-05;2021-11-07;.3254;;;;;;;;;
2021XD6;8 ;*    ;2115-12-11 06:36 ;5.14E-9 ;-10.42 ;0 ;12.16  ;2103-2121 ;9.39E-9 ;-10.13 ;1.12;0.1838;0.83;89.77;291.41;0.914;1.33;1.19;26;5;60;;;28.49;N;54230078;2021 XD6;;;Y;0;;;;;;;;;;;;;;;;;0.47;;8;2461000.5;61000;2025-11-21.0;J2000;159.39;0.8316;2460808.83;2025-05-13.3;433;0.00269;1.05;4.04;5.56;3.2e-05;2.8e-05;1.3e-05;1.4e-04;7.8e-05;9.8e-04;4.7e-02;3.3e-05;3.1e-05;4.9e-02;1.6e-02;APO;Otto Matic;2021-12-13;2022-01-08;.64904;;;;;;;;;
2025CY2;8 ;*    ;2109-12-20 23:31 ;1.02E-4 ;-5.91 ;0 ;11.64  ;2064-2116 ;1.58E-4 ;-5.67 ;1.236;0.2115;0.97;112.29;359.89;0.975;1.50;1.37;21;6;45;;;28.21;N;54519244;2025 CY2;;;Y;0;;;;;;;;;;;;;;;;;0.36;;8;2461000.5;61000;2025-11-21.0;J2000;222.63;0.7173;2461192.01;2026-05-31.5;502;0.00509;1.98;3.59;5.16;7.1e-05;1.1e-04;3.4e-06;3.1e-04;8.1e-04;8.6e-04;2.9e-02;1.3e-04;9.3e-05;6.6e-02;6.5e-02;APO;Otto Matic;2025-02-07;2025-02-28;.59956;;;;;;;;;
2008CM74;8 ;*    ;2091-07-03 10:26 ;7.46E-7 ;-7.92 ;0 ;11.90  ;2065-2121 ;1.57E-6 ;-7.60 ;1.093;0.1475;1.01;312.84;252.31;0.931;1.25;1.14;7;6;17;;;28.10;N;3402366;2008 CM74;;;Y;0;;;;;;;;;;;;;;;;;;;9;2461000.5;61000;2025-11-21.0;J2000;181.57;0.863;2461207.26;2026-06-15.7;417;0.00459;1.78;3.7;5.67;4.5e-03;1.6e-02;8.4e-03;1.9e-01;9.0e+00;3.9e+00;8.9e+00;1.8e-02;1.8e-02;1.5e+01;8.9e+00;APO;Otto Matic;2008-02-08;2008-02-15;.4834;;;;;;;;;
2014KW76;8 ;*    ;2115-05-29 14:32 ;2.76E-7 ;-8.17 ;0 ;18.71  ;2104-2117 ;3.19E-7 ;-8.10 ;1.682;0.5616;2.34;67.34;102.18;0.737;2.63;2.18;4;7;34;;;27.90;N;3672905;2014 KW76;;;Y;0;;;;;;;;;;;;;;;;;;;9;2461000.5;61000;2025-11-21.0;J2000;117.00;0.4519;2460741.60;2025-03-07.0;797;0.00116;0.451;2.35;4.03;3.4e-04;8.6e-04;2.0e-04;2.0e-03;1.2e-02;2.6e-03;2.8e+00;1.3e-03;3.5e-04;6.0e+00;6.1e-01;APO;Otto Matic;2014-05-28;2014-06-01;.38316;;;;;;;;;
2021JY3;8 ;*    ;2102-05-14 10:01 ;6.01E-6 ;-7.28 ;0 ;11.82  ;2077-2111 ;1.15E-5 ;-7.00 ;0.8586;0.1955;2.37;58.14;336.50;0.691;1.03;0.796;12;5;68;;;28.45;N;54144373;2021 JY3;;;Y;0;;;;;;;;;;;;;;;;;0.43;;9;2461000.5;61000;2025-11-21.0;J2000;89.96;1.239;2460927.88;2025-09-09.3;291;0.00267;1.04;4.25;6.86;3.8e-06;1.1e-05;5.4e-06;1.8e-04;1.3e-03;7.5e-04;5.2e-02;1.3e-05;2.3e-05;4.1e-02;5.5e-03;ATE;Otto Matic;2021-05-08;2021-05-20;.36832;;;;;;;;;
2021RS5;8 ;*    ;2105-09-09 02:46 ;1.11E-6 ;-7.90 ;0 ;13.55  ;2084-2121 ;3.44E-6 ;-7.43 ;1.064;0.2274;5.13;345.88;270.52;0.822;1.31;1.1;28;5;138;;;28.35;N;54194343;2021 RS5;;;Y;0;;;;;;;;;;;;;;;;;0.24;;9;2461000.5;61000;2025-11-21.0;J2000;0.99;0.8976;2460999.40;2025-11-19.8;401;0.000287;0.112;3.73;5.77;2.7e-05;1.6e-05;1.7e-05;5.7e-04;3.4e-05;4.0e-04;3.4e-02;1.9e-05;2.0e-05;3.8e-02;8.9e-03;APO;Otto Matic;2021-09-09;2021-10-07;.27054;;;;;;;;;
2021GE226;8 ;*    ;2092-04-12 00:35 ;9.66E-7 ;-7.75 ;0 ;14.23  ;2092-2113 ;1.87E-6 ;-7.51 ;2.166;0.5490;2.73;23.46;199.46;0.977;3.36;3.19;;8;26;;;28.41;N;54440308;2021 GE226;;;Y;0;;;;;;;;;;;;;;;;;0.53;;JPL 1;2459314.5;59314;2021-04-10.0;J2000;354.29;0.3091;2459332.98;2021-04-28.4;1.16e+03;0.00178;0.694;1.63;3.48;2.5e-03;1.2e-02;1.1e-04;1.2e-02;5.7e-03;2.1e-02;4.8e-02;1.8e-02;2.5e-03;5.4e-03;9.6e+00;APO;Otto Matic;2021-04-10;2021-04-10;.19915;;;;;;;;;
2021PK4;8 ;*    ;2068-08-06 20:29 ;1.85E-5 ;-6.21 ;0 ;16.40  ;2060-2075 ;2.09E-5 ;-6.15 ;1.268;0.3609;11.77;134.67;103.57;0.811;1.73;1.43;2;8;15;;;28.19;N;54179306;2021 PK4;;;Y;0;;;;;;;;;;;;;;;;;0.44;;JPL 1;2459435.5;59435;2021-08-09.0;J2000;40.66;0.6899;2459376.57;2021-06-11.0;522;0.00153;0.594;3.32;5;7.2e-04;1.1e-03;2.3e-04;2.0e-02;2.9e-04;1.4e-02;7.7e-02;1.4e-03;8.6e-04;3.8e-02;6.5e-01;APO;Otto Matic;2021-08-08;2021-08-10;.50243;;;;;;;;;
2021XA11;8 ;*    ;2113-12-10 18:12 ;5.13E-7 ;-7.99 ;0 ;16.57  ;2113-2113 ;5.13E-7 ;-7.99 ;1.926;0.5342;9.70;259.48;222.04;0.897;2.95;2.67;;9;14;;;28.30;N;54440310;2021 XA11;;;Y;0;;;;;;;;;;;;;;;;;0.19;;JPL 1;2459559.5;59559;2021-12-11.0;J2000;348.25;0.3688;2459591.36;2022-01-11.8;976;0.000311;0.121;2.21;3.72;6.5e-03;2.5e-02;7.8e-04;8.8e-02;4.4e-04;2.4e-02;2.6e-01;3.9e-02;7.2e-03;7.3e-02;1.9e+01;APO;Otto Matic;2021-12-11;2021-12-11;.25542;;;;;;;;;
2024UK4;8 ;*    ;2115-10-21 12:04 ;1.54E-7 ;-8.56 ;0 ;16.61  ;2115-2115 ;2.11E-7 ;-8.43 ;2.745;0.6698;3.18;30.77;318.01;0.906;4.58;4.55;3;8;13;;;28.37;N;54496008;2024 UK4;;;Y;0;;;;;;;;;;;;;;;;;0.31;;JPL 1;2460606.5;60606;2024-10-23.0;J2000;6.54;0.2167;2460576.33;2024-09-22.8;1.66e+03;0.00278;1.08;0.853;2.97;2.1e-03;1.7e-02;2.1e-04;7.2e-03;1.4e-03;1.2e-02;6.3e-02;2.8e-02;2.0e-03;1.5e-02;1.5e+01;APO;Otto Matic;2024-10-23;2024-10-26;.43886;;;;;;;;;
2025DC50;8 ;*    ;2117-06-13 09:12 ;1.20E-7 ;-8.66 ;0 ;16.27  ;2060-2117 ;2.66E-7 ;-8.22 ;1.958;0.5454;0.69;92.85;116.71;0.890;3.03;2.74;;9;10;;;28.26;N;54523639;2025 DC50;;;Y;0;;;;;;;;;;;;;;;;;0.46;;JPL 1;2460733.5;60733;2025-02-27.0;J2000;346.01;0.3597;2460772.38;2025-04-06.8;1e+03;0.00288;1.12;1.94;3.69;9.9e-03;3.7e-02;2.5e-03;1.3e-02;3.7e+00;3.9e+00;4.0e-01;5.8e-02;1.0e-02;3.1e-02;2.9e+01;APO;Otto Matic;2025-02-27;2025-02-27;.57081;;;;;;;;;
2025FZ6;8 ;*    ;2066-03-24 22:45 ;4.96E-8 ;-8.70 ;0 ;22.81  ;2038-2107 ;8.09E-8 ;-8.39 ;2.012;0.6939;7.66;4.87;265.18;0.616;3.41;2.85;;9;12;;;28.30;N;54524630;2025 FZ6;;;Y;0;;;;;;;;;;;;;;;;;0.30;;JPL 1;2460757.5;60757;2025-03-23.0;J2000;343.38;0.3453;2460805.63;2025-05-10.1;1.04e+03;0.00223;0.867;1.81;3.47;2.4e-02;1.3e-01;7.8e-03;2.7e-01;2.7e-02;5.3e-02;1.9e+00;2.2e-01;3.3e-02;7.4e-01;1.0e+02;APO;Otto Matic;2025-03-23;2025-03-23;.43897;;;;;;;;;
