full_name;m  ;*=Y   ;Date/Time   ;IP max  ;PS max ;TS  ;Vel km/s ;Years     ;IP cum   ;PS cum ;a;e;i;om;w;q;ad;per_y;data_arc;condition_code;n_obs_used;n_del_obs_used;n_dop_obs_used;H;pha;spkid;pdes;name;prefix;neo;sats;G;M1;M2;K1;K2;PC;diameter;extent;albedo;rot_per;GM;BV;UB;IR;spec_B;spec_T;H_sigma;diameter_sigma;orbit_id;epoch;epoch_mjd;epoch_cal;equinox;ma;n;tp;tp_cal;per;moid;moid_ld;moid_jup;t_jup;sigma_e;sigma_a;sigma_q;sigma_i;sigma_om;sigma_w;sigma_ma;sigma_ad;sigma_n;sigma_tp;sigma_per;class;producer;first_obs;last_obs;rms;two_body;A1;A1_sigma;A2;A2_sigma;A3;A3_sigma;DT;DT_sigma
2020CW;1.2 ;*    ;2057-01-31 13:36 ;1.33E-6 ;-9.07 ;0 ;22.92  ;2046-2057 ;1.35E-6 ;-9.06 ;1.082;0.6080;5.93;131.79;120.45;0.424;1.74;1.13;;7;12;;;32.56;N;3989456;2020 CW;;;Y;0;;;;;;;;;;;;;;;;;0.20;;3;2461000.5;61000;2025-11-21.0;J2000;8.02;0.8754;2460991.34;2025-11-11.8;411;5.92e-05;0.023;3.32;5.53;4.6e-04;9.3e-04;1.5e-04;3.8e-03;3.8e-03;1.3e-02;2.4e+00;1.5e-03;1.1e-03;2.7e+00;5.3e-01;APO;Otto Matic;2020-02-01;2020-02-01;.39796;;;;;;;;;
2020NW8;1.2 ;*    ;2037-07-10 04:27 ;8.05E-6 ;-8.06 ;0 ;14.47  ;2037-2122 ;1.18E-4 ;-7.51 ;1.933;0.5042;0.09;275.73;46.15;0.958;2.91;2.69;;8;5;;;32.49;N;54499710;2020 NW8;;;Y;0;;;;;;;;;;;;;;;;;0.36;;JPL 1;2459039.5;59039;2020-07-09.0;J2000;349.60;0.3668;2459067.86;2020-08-06.3;981;0.000297;0.116;2.44;3.75;2.8e-03;1.0e-02;2.9e-04;1.5e-03;2.2e-01;2.4e-01;8.8e-02;1.5e-02;2.9e-03;1.6e-02;7.8e+00;APO;Otto Matic;2020-07-09;2020-07-09;.16381;;;;;;;;;
2021UP120;1.2 ;*    ;2075-04-27 00:03 ;9.70E-8 ;-10.47 ;0 ;17.21  ;2032-2120 ;2.39E-7 ;-10.22 ;1.323;0.4588;4.77;36.47;83.36;0.716;1.93;1.52;;9;11;;;32.52;N;54425757;2021 UP120;;;Y;0;;;;;;;;;;;;;;;;;0.24;;JPL 1;2459516.5;59516;2021-10-29.0;J2000;324.47;0.6473;2459571.39;2021-12-22.8;556;0.000144;0.0559;3.18;4.83;1.0e-02;1.6e-02;4.6e-03;1.1e-01;1.2e-03;8.5e-02;9.0e-01;2.3e-02;1.2e-02;3.9e-01;1.0e+01;APO;Otto Matic;2021-10-29;2021-10-29;.068775;;;;;;;;;
2019AS5;1.3 ;*    ;2121-09-05 22:05 ;1.47E-7 ;-10.72 ;0 ;15.13  ;2081-2121 ;1.56E-7 ;-10.68 ;1.348;0.3924;0.70;106.77;294.34;0.819;1.88;1.57;3;5;20;;;32.30;N;3837685;2019 AS5;;;Y;0;;;;;;;;;;;;;;;;;0.38;;4;2461000.5;61000;2025-11-21.0;J2000;170.21;0.6298;2460730.23;2025-02-23.7;572;0.000129;0.0502;3.54;4.8;3.1e-05;5.1e-05;1.0e-05;5.6e-05;6.6e-05;2.6e-04;9.2e-02;7.1e-05;3.6e-05;1.3e-01;3.2e-02;APO;Otto Matic;2019-01-08;2019-01-11;.41451;;;;;;;;;
2017UL6;1.4 ;*    ;2069-10-27 10:32 ;2.56E-5 ;-8.07 ;0 ;13.26  ;2062-2119 ;6.09E-5 ;-7.71 ;1.101;0.2544;3.15;214.68;262.13;0.821;1.38;1.15;1;7;15;;;32.00;N;3788072;2017 UL6;;;Y;0;;;;;;;;;;;;;;;;;;;2;2461000.5;61000;2025-11-21.0;J2000;300.15;0.8536;2461070.62;2026-01-30.1;422;0.0002;0.078;3.71;5.62;3.5e-04;5.1e-04;3.5e-05;6.7e-03;1.4e-04;5.5e-02;1.7e+00;6.4e-04;5.9e-04;2.1e+00;2.9e-01;APO;Otto Matic;2017-10-27;2017-10-28;.42376;;;;;;;;;
2019UN13;1.4 ;*    ;2111-11-01 04:11 ;3.28E-7 ;-10.21 ;0 ;15.13  ;2109-2111 ;3.45E-7 ;-10.19 ;1.45;0.4216;1.50;217.43;241.93;0.839;2.06;1.75;;7;16;;;32.00;N;3892165;2019 UN13;;;Y;0;;;;;;;;;;;;;;;;;0.38;;2;2461000.5;61000;2025-11-21.0;J2000;143.90;0.5646;2460745.65;2025-03-11.1;638;0.000116;0.0453;3.13;4.55;7.7e-04;9.8e-04;5.6e-04;3.9e-03;2.6e-03;4.4e-01;2.5e+00;1.4e-03;5.7e-04;4.3e+00;6.4e-01;APO;Otto Matic;2019-10-31;2019-10-31;.45576;;;;;;;;;
2021VM96;1.4 ;*    ;2091-11-08 01:22 ;1.50E-6 ;-9.13 ;0 ;19.66  ;2067-2091 ;2.18E-6 ;-8.93 ;2.498;0.6572;15.67;227.28;229.22;0.856;4.14;3.95;;9;5;;;32.03;N;54423140;2021 VM96;;;Y;0;;;;;;;;;;;;;;;;;0.18;;JPL 1;2459527.5;59527;2021-11-09.0;J2000;351.31;0.2496;2459562.29;2021-12-13.7;1.44e+03;0.00148;0.575;1.43;3.09;2.5e-02;1.7e-01;2.9e-03;4.3e-01;1.0e-03;5.5e-02;1.0e+00;2.9e-01;2.6e-02;3.8e-01;1.5e+02;APO;Otto Matic;2021-11-09;2021-11-09;.039033;;;;;;;;;
2008UM1;1.4 ;*    ;2073-10-20 14:07 ;7.43E-8 ;-10.36 ;0 ;19.22  ;2073-2073 ;7.43E-8 ;-10.36 ;2.338;0.6827;5.29;208.94;111.87;0.742;3.93;3.57;;9;9;;;32.10;N;3432678;2008 UM1;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 13;2454761.5;54761;2008-10-22.0;J2000;11.54;0.2758;2454719.66;2008-09-10.1;1.31e+03;1.16e-05;0.00452;1.49;3.2;1.5e-01;1.0e+00;2.6e-02;7.8e-01;1.2e-02;1.1e+00;8.6e+00;1.7e+00;1.8e-01;3.7e+00;8.6e+02;APO;Otto Matic;2008-10-22;2008-10-22;.44156;;;;;;;;;
2020ME63;1.5 ;*    ;2056-06-22 14:21 ;8.09E-8 ;-10.20 ;0 ;14.15  ;2056-2056 ;8.09E-8 ;-10.20 ;2.21;0.5491;2.56;91.85;157.03;0.996;3.42;3.29;;7;6;;;31.91;N;54499718;2020 ME63;;;Y;0;;;;;;;;;;;;;;;;;0.06;;1;2461000.5;61000;2025-11-21.0;J2000;240.24;0.3;2461399.68;2026-12-25.1;1.2e+03;0.00232;0.902;1.62;3.44;8.5e-04;5.5e-03;6.2e-04;1.4e-02;4.1e-01;4.9e-01;1.8e+00;8.6e-03;1.1e-03;7.4e+00;4.5e+00;APO;Otto Matic;2020-06-23;2020-06-23;.073899;;;;;;;;;
2022PW40;1.5 ;*    ;2059-08-05 05:58 ;3.41E-5 ;-7.67 ;0 ;12.90  ;2059-2059 ;3.41E-5 ;-7.67 ;1.701;0.4109;2.73;312.66;342.87;1.002;2.40;2.22;;8;6;;;31.88;N;54399493;2022 PW40;;;Y;0;;;;;;;;;;;;;;;;;0.12;;JPL 1;2459796.5;59796;2022-08-05.0;J2000;6.38;0.4444;2459782.15;2022-07-21.6;810;0.000272;0.106;2.82;4.1;2.1e-03;6.0e-03;7.8e-06;8.7e-03;6.7e-05;3.3e-02;5.1e-02;8.5e-03;2.4e-03;3.9e-02;4.3e+00;APO;Otto Matic;2022-08-05;2022-08-05;.09136;;;;;;;;;
2023HW39;1.5 ;*    ;2096-04-14 16:31 ;2.42E-4 ;-7.16 ;0 ;13.41  ;2042-2119 ;6.97E-4 ;-6.65 ;2.233;0.5497;0.65;26.40;182.00;1.005;3.46;3.34;;8;8;;;31.99;N;54499712;2023 HW39;;;Y;0;;;;;;;;;;;;;;;;;0.17;;JPL 1;2460051.5;60051;2023-04-17.0;J2000;359.48;0.2954;2460053.25;2023-04-18.7;1.22e+03;0.00111;0.434;1.5;3.42;2.5e-03;1.2e-02;3.8e-06;2.9e-03;5.1e-04;2.2e-02;3.0e-03;1.9e-02;2.4e-03;1.7e-02;1.0e+01;APO;Otto Matic;2023-04-17;2023-04-17;.098663;;;;;;;;;
2017WE30;1.5 ;*    ;2079-11-27 06:39 ;1.20E-8 ;-11.09 ;0 ;21.28  ;2079-2079 ;1.20E-8 ;-11.09 ;2.123;0.6728;1.02;65.20;73.95;0.695;3.55;3.09;;9;13;;;31.81;N;3796296;2017 WE30;;;Y;0;;;;;;;;;;;;;;;;;0.22;;JPL 2;2458083.5;58083;2017-11-26.0;J2000;345.82;0.3187;2458128.01;2018-01-09.5;1.13e+03;0.000195;0.076;1.5;3.4;5.3e-03;3.0e-02;1.5e-03;9.8e-03;5.8e-03;2.8e-02;3.4e-01;5.0e-02;6.7e-03;1.3e-01;2.4e+01;APO;Otto Matic;2017-11-26;2017-11-26;.81771;;;;;;;;;
2025SU4;1.5 ;*    ;2125-09-26 21:25 ;1.33E-6 ;-9.60 ;n/a ;13.21  ;2114-2125 ;3.77E-6 ;-9.14 ;0.9705;0.2510;1.64;1.43;111.58;0.727;1.21;0.956;1;5;30;;;31.82;N;54546914;2025 SU4;;;Y;0;;;;;;;;;;;;;;;;;0.36;;JPL 5;2461000.5;61000;2025-11-21.0;J2000;336.04;1.031;2461023.74;2025-12-14.2;349;0.000193;0.0753;3.87;6.2;2.2e-05;4.3e-05;1.7e-05;1.3e-03;2.8e-04;9.5e-03;8.6e-03;5.3e-05;6.8e-05;6.8e-03;2.3e-02;ATE;Otto Matic;2025-09-23;2025-09-24;.34515;;;;;;;;;
2021VP11;1.6 ;*    ;2038-11-09 23:37 ;5.02E-5 ;-7.11 ;0 ;14.32  ;2028-2120 ;1.05E-4 ;-6.97 ;1.278;0.3542;1.30;47.65;68.27;0.826;1.73;1.45;;9;11;;;31.81;N;54219301;2021 VP11;;;Y;0;;;;;;;;;;;;;;;;;0.16;;JPL 1;2459527.5;59527;2021-11-09.0;J2000;324.66;0.682;2459579.31;2021-12-30.8;528;0.000131;0.0509;3.37;5;7.4e-03;9.9e-03;3.1e-03;3.2e-02;5.1e-03;1.3e-01;5.5e-01;1.3e-02;8.0e-03;2.0e-01;6.2e+00;APO;Otto Matic;2021-11-09;2021-11-09;.36078;;;;;;;;;
2022SK333;1.6 ;*    ;2033-12-20 15:23 ;2.00E-6 ;-8.30 ;0 ;15.59  ;2033-2122 ;3.80E-5 ;-7.74 ;2.237;0.5950;0.74;358.15;43.73;0.906;3.57;3.35;;9;5;;;31.87;N;54499716;2022 SK333;;;Y;0;;;;;;;;;;;;;;;;;0.18;;JPL 1;2459844.5;59844;2022-09-22.0;J2000;350.48;0.2946;2459876.82;2022-10-24.3;1.22e+03;0.000324;0.126;1.87;3.38;1.2e-02;6.3e-02;1.5e-03;1.5e-02;2.0e-03;5.5e-02;4.3e-01;1.0e-01;1.2e-02;1.2e-01;5.1e+01;APO;Otto Matic;2022-09-22;2022-09-22;.08372;;;;;;;;;
2025SY1;1.6 ;*    ;2065-09-18 23:56 ;1.32E-4 ;-7.08 ;0 ;13.14  ;2056-2125 ;1.38E-4 ;-7.06 ;0.9438;0.2463;3.95;176.66;298.13;0.711;1.18;0.917;1;5;63;;;31.66;N;54546404;2025 SY1;;;Y;0;;;;;;;;;;;;;;;;;0.43;;JPL 1;2461000.5;61000;2025-11-21.0;J2000;335.83;1.075;2461022.98;2025-12-13.4;335;0.000571;0.222;3.9;6.34;9.5e-05;1.2e-05;8.4e-05;1.4e-03;2.5e-04;3.3e-03;1.3e-02;1.5e-05;2.0e-05;1.2e-02;6.3e-03;ATE;Otto Matic;2025-09-18;2025-09-19;.22429;;;;;;;;;
2022AV13;1.7 ;*    ;2099-01-02 06:05 ;1.02E-6 ;-9.58 ;0 ;13.20  ;2060-2121 ;4.19E-6 ;-8.92 ;1.323;0.3168;0.05;150.58;265.57;0.904;1.74;1.52;1;7;9;;;31.82;N;54243529;2022 AV13;;;Y;0;;;;;;;;;;;;;;;;;0.30;;1;2461000.5;61000;2025-11-21.0;J2000;221.99;0.6474;2461213.66;2026-06-22.1;556;0.000413;0.161;3.61;4.89;3.9e-04;6.4e-04;8.7e-05;9.3e-04;1.0e+00;1.1e+00;7.0e-01;8.4e-04;4.7e-04;1.2e+00;4.0e-01;APO;Otto Matic;2022-01-06;2022-01-07;.43192;;;;;;;;;
2019VB5;1.7 ;*    ;2053-05-14 20:09 ;1.74E-5 ;-7.91 ;0 ;12.56  ;2052-2121 ;6.26E-5 ;-7.58 ;1.022;0.2038;0.31;54.83;86.29;0.814;1.23;1.03;4;5;26;;;31.70;N;3892775;2019 VB5;;;Y;0;;;;;;;;;;;;;;;;;0.37;;2;2461000.5;61000;2025-11-21.0;J2000;237.88;0.9533;2461128.60;2026-03-29.1;378;0.000568;0.221;3.78;5.96;5.7e-05;2.5e-04;2.6e-04;3.3e-04;3.5e-02;1.2e-01;1.8e-01;3.1e-04;3.6e-04;2.4e-01;1.4e-01;APO;Otto Matic;2019-11-05;2019-11-09;.59093;;;;;;;;;
2021UA1;1.7 ;*    ;2115-10-27 03:49 ;1.62E-6 ;-9.29 ;0 ;17.07  ;2071-2122 ;4.44E-6 ;-8.81 ;1.086;0.4047;0.01;125.95;163.24;0.646;1.52;1.13;1;6;22;;;31.84;N;54212443;2021 UA1;;;Y;0;;;;;;;;;;;;;;;;;0.46;;3;2461000.5;61000;2025-11-21.0;J2000;271.81;0.8714;2461101.70;2026-03-02.2;413;6.86e-05;0.0267;3.64;5.63;7.9e-05;6.2e-05;4.9e-05;4.8e-06;6.6e-01;6.6e-01;1.2e-01;8.7e-05;7.4e-05;1.5e-01;3.5e-02;APO;Otto Matic;2021-10-25;2021-10-26;.48857;;;;;;;;;
2013YB;1.7 ;*    ;2031-12-24 03:29 ;7.99E-6 ;-7.45 ;0 ;14.27  ;2026-2046 ;2.33E-5 ;-7.04 ;1.551;0.4273;0.19;269.03;230.15;0.888;2.21;1.93;;9;11;;;31.44;N;3654983;2013 YB;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 5;2456649.5;56649;2013-12-23.0;J2000;341.23;0.5104;2456686.27;2014-01-28.7;705;0.000125;0.0487;2.83;4.34;1.2e-02;2.7e-02;2.4e-03;8.9e-04;5.1e-02;2.2e-01;5.4e-01;3.9e-02;1.3e-02;1.0e-01;1.8e+01;APO;Otto Matic;2013-12-23;2013-12-23;.79631;;;;;;;;;
2008US;1.7 ;*    ;2044-04-17 04:53 ;4.94E-7 ;-8.71 ;0 ;21.97  ;2042-2044 ;5.87E-7 ;-8.63 ;1.612;0.6138;5.97;207.92;90.77;0.623;2.60;2.05;;9;15;;;31.40;N;3432646;2008 US;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 9;2454760.5;54760;2008-10-21.0;J2000;23.96;0.4815;2454710.75;2008-09-01.2;748;0.000192;0.0746;2.68;4.1;1.9e-02;6.0e-02;7.1e-03;1.7e-01;2.5e-03;1.0e-01;1.7e+00;9.7e-02;2.7e-02;7.0e-01;4.2e+01;APO;Otto Matic;2008-10-21;2008-10-21;.3863;;;;;;;;;
2019YS;1.8 ;*    ;2116-12-20 18:57 ;1.22E-8 ;-11.48 ;0 ;12.81  ;2095-2118 ;1.94E-8 ;-11.27 ;1.117;0.2234;0.22;272.78;103.88;0.867;1.37;1.18;1;6;22;;;31.50;N;3943319;2019 YS;;;Y;0;;;;;;;;;;;;;;;;;0.46;;3;2461000.5;61000;2025-11-21.0;J2000;53.97;0.8354;2460935.90;2025-09-17.3;431;0.000474;0.185;4.09;5.56;1.1e-04;6.6e-05;7.5e-05;1.1e-04;2.0e-03;3.5e-03;2.4e-01;8.1e-05;7.4e-05;2.8e-01;3.8e-02;APO;Otto Matic;2019-12-19;2019-12-20;.42548;;;;;;;;;
2020DQ16;10 ;*    ;2103-02-18 23:15 ;6.11E-7 ;-7.81 ;0 ;14.86  ;2080-2122 ;1.21E-6 ;-7.53 ;1.069;0.2995;5.23;329.28;271.38;0.749;1.39;1.1;3;7;19;;;27.81;N;54293315;2020 DQ16;;;Y;0;;;;;;;;;;;;;;;;;0.48;;1;2461000.5;61000;2025-11-21.0;J2000;18.41;0.892;2460979.86;2025-10-31.3;404;0.00257;1;3.63;5.73;8.8e-04;4.6e-04;6.2e-04;1.3e-02;6.7e-03;1.2e-03;1.2e+00;5.9e-04;5.7e-04;1.4e+00;2.6e-01;APO;Otto Matic;2020-02-13;2020-02-16;.44431;;;;;;;;;
2023HM;10 ;*    ;2054-04-14 14:36 ;3.50E-7 ;-7.28 ;0 ;22.82  ;2051-2120 ;5.13E-7 ;-7.19 ;0.8342;0.6699;2.22;30.62;28.58;0.275;1.39;0.762;2;7;18;;;27.82;N;54354505;2023 HM;;;Y;0;;;;;;;;;;;;;;;;;0.44;;1;2461000.5;61000;2025-11-21.0;J2000;223.25;1.294;2461106.21;2026-03-06.7;278;0.00498;1.94;3.97;6.83;9.8e-04;3.1e-04;7.1e-04;6.9e-03;6.0e-03;2.1e-02;8.4e-01;5.2e-04;7.2e-04;7.0e-01;1.5e-01;ATE;Otto Matic;2023-04-16;2023-04-18;.55182;;;;;;;;;
2024RC16;10 ;*    ;2062-09-09 02:11 ;1.20E-5 ;-5.81 ;0 ;21.31  ;2062-2062 ;1.20E-5 ;-5.81 ;1.857;0.6236;7.89;167.06;100.28;0.699;3.01;2.53;3;7;17;;;27.80;N;54471070;2024 RC16;;;Y;0;;;;;;;;;;;;;;;;;0.64;;1;2461000.5;61000;2025-11-21.0;J2000;189.35;0.3896;2461438.55;2027-02-02.0;924;0.0031;1.21;2.16;3.73;4.9e-04;2.0e-03;1.3e-04;5.3e-03;3.1e-04;1.8e-03;3.2e-01;3.3e-03;6.4e-04;1.5e+00;1.5e+00;APO;Otto Matic;2024-09-09;2024-09-12;.59059;;;;;;;;;
2025FC1;10 ;*    ;2103-03-21 17:26 ;4.08E-4 ;-4.61 ;0 ;21.74  ;2103-2113 ;4.68E-4 ;-4.55 ;0.9594;0.5447;19.08;179.45;233.30;0.437;1.48;0.94;1;7;26;;;27.68;N;54524057;2025 FC1;;;Y;0;;;;;;;;;;;;;;;;;0.31;;1;2461000.5;61000;2025-11-21.0;J2000;320.86;1.049;2461037.82;2025-12-28.3;343;0.00155;0.604;3.98;6.1;4.1e-04;3.2e-04;2.5e-04;2.2e-02;3.3e-04;6.3e-03;1.9e-01;4.9e-04;5.2e-04;2.0e-01;1.7e-01;ATE;Otto Matic;2025-03-21;2025-03-22;.50248;;;;;;;;;
2025NC;10 ;*    ;2062-07-04 02:27 ;9.95E-4 ;-4.20 ;0 ;14.17  ;2062-2062 ;9.95E-4 ;-4.20 ;1.825;0.4572;8.02;101.91;203.18;0.990;2.66;2.46;3;7;29;;;27.52;N;54537840;2025 NC;;;Y;0;;;;;;;;;;;;;;;;;0.29;;1;2461000.5;61000;2025-11-21.0;J2000;48.32;0.3999;2460879.67;2025-07-23.1;900;0.00143;0.557;2.61;3.9;2.1e-04;7.0e-04;6.6e-06;2.4e-03;1.4e-04;8.2e-04;2.7e-02;1.0e-03;2.3e-04;2.2e-03;5.2e-01;APO;Otto Matic;2025-06-30;2025-07-03;.38174;;;;;;;;;
2003WT153;10 ;*    ;2048-08-30 22:09 ;1.58E-6 ;-7.16 ;0 ;12.04  ;2044-2121 ;6.11E-6 ;-6.83 ;0.8938;0.1782;0.37;56.54;147.46;0.735;1.05;0.845;2;6;46;;;28.00;N;3167367;2003 WT153;;;Y;0;;;;;;;;;;0.117;;;;;;;;;10;2461000.5;61000;2025-11-21.0;J2000;257.36;1.166;2461088.50;2026-02-16.9;309;0.00161;0.626;3.9;6.64;1.1e-04;1.4e-04;2.2e-05;5.6e-03;2.4e+00;2.4e+00;2.2e+00;1.7e-04;2.8e-04;1.8e+00;7.5e-02;ATE;Otto Matic;2003-11-29;2003-12-01;.61054;;;;;;;;;
2007HB15;10 ;*    ;2055-04-25 12:33 ;1.18E-5 ;-6.19 ;0 ;12.85  ;2055-2119 ;2.52E-5 ;-6.02 ;1.256;0.2564;1.12;33.88;229.33;0.934;1.58;1.41;11;6;29;;;27.70;N;3374667;2007 HB15;;;Y;0;;;;;;;;;;;;;;;;;;;10;2461000.5;61000;2025-11-21.0;J2000;48.10;0.7;2460931.79;2025-09-13.2;514;0.000133;0.0516;3.48;5.09;3.7e-03;1.0e-02;3.1e-03;4.1e-02;7.7e+00;8.7e+00;1.8e+01;1.3e-02;8.7e-03;2.4e+01;6.4e+00;APO;Otto Matic;2007-04-13;2007-04-24;.4975;;;;;;;;;
2020KD1;10 ;*    ;2042-05-23 08:22 ;1.34E-8 ;-8.93 ;0 ;14.18  ;2042-2042 ;1.34E-8 ;-8.93 ;1.489;0.3575;8.73;62.07;217.53;0.957;2.02;1.82;4;6;54;;;27.90;N;54017097;2020 KD1;;;Y;0;;;;;;;;;;;;;;;;;0.43;;10;2461000.5;61000;2025-11-21.0;J2000;352.15;0.5426;2461014.97;2025-12-05.4;664;0.00155;0.605;3.12;4.48;1.4e-04;3.0e-04;1.2e-05;2.0e-03;2.4e-05;1.1e-03;3.2e-01;4.0e-04;1.6e-04;5.9e-01;2.0e-01;APO;Otto Matic;2020-05-18;2020-05-22;.42833;;;;;;;;;
2014TL;10 ;*    ;2111-10-01 18:48 ;4.79E-6 ;-6.94 ;0 ;15.49  ;2072-2118 ;6.44E-6 ;-6.76 ;1.133;0.3393;3.24;187.85;90.69;0.749;1.52;1.21;19;6;59;;;27.80;N;3692289;2014 TL;;;Y;0;;;;;;;;;;;;;;;;;;;11;2461000.5;61000;2025-11-21.0;J2000;135.28;0.8168;2460834.88;2025-06-08.3;441;0.000421;0.164;3.6;5.47;5.6e-05;7.6e-06;5.8e-05;6.1e-04;3.2e-04;4.9e-03;1.6e-01;1.0e-05;8.3e-06;1.9e-01;4.5e-03;APO;Otto Matic;2014-10-02;2014-10-21;.35494;;;;;;;;;
2021EO2;10 ;*    ;2037-03-25 05:52 ;5.40E-5 ;-5.21 ;0 ;12.60  ;2037-2121 ;8.63E-5 ;-5.15 ;1.456;0.3311;0.14;209.69;356.21;0.974;1.94;1.76;126;5;41;;;27.87;N;54130761;2021 EO2;;;Y;0;;;;;;;;;;;;;;;;;0.39;;11;2461000.5;61000;2025-11-21.0;J2000;225.18;0.561;2461240.83;2026-07-19.3;642;0.00114;0.444;3.02;4.57;3.1e-05;6.4e-05;2.5e-06;1.1e-05;1.2e-03;1.2e-03;6.2e-02;8.5e-05;3.7e-05;1.3e-01;4.2e-02;APO;Otto Matic;2021-03-07;2021-07-11;.37099;;;;;;;;;
2022VF;10 ;*    ;2092-05-03 19:56 ;2.35E-6 ;-7.31 ;0 ;12.87  ;2090-2121 ;7.58E-6 ;-6.88 ;1.065;0.2013;1.33;225.37;90.85;0.851;1.28;1.1;18;5;98;;;27.87;N;54323526;2022 VF;;;Y;0;;;;;;;;;;;;;;;;;0.41;;11;2461000.5;61000;2025-11-21.0;J2000;340.87;0.8969;2461021.83;2025-12-12.3;401;0.00149;0.581;3.92;5.77;4.5e-05;2.5e-05;2.8e-05;2.7e-04;2.2e-04;8.7e-04;3.9e-02;3.0e-05;3.2e-05;4.5e-02;1.4e-02;APO;Otto Matic;2022-11-02;2022-11-20;.45498;;;;;;;;;
2024US;10 ;*    ;2120-10-23 10:18 ;2.13E-10 ;-11.40 ;0 ;13.54  ;2120-2120 ;2.13E-10 ;-11.40 ;1.258;0.2843;4.09;30.03;303.00;0.900;1.62;1.41;18;6;108;;;27.96;N;54494471;2024 US;;;Y;0;;;;;;;;;;;;;;;;;0.31;;11;2461000.5;61000;2025-11-21.0;J2000;307.93;0.6988;2461075.01;2026-02-03.5;515;0.0018;0.702;3.73;5.08;6.8e-05;9.1e-05;2.0e-05;8.2e-04;1.2e-05;6.7e-04;3.4e-02;1.2e-04;7.6e-05;5.7e-02;5.6e-02;APO;Otto Matic;2024-10-23;2024-11-10;.32122;;;;;;;;;
2010GV23;10 ;*    ;2121-04-06 14:05 ;5.11E-6 ;-7.02 ;0 ;12.44  ;2096-2121 ;5.48E-6 ;-6.98 ;0.9294;0.2029;3.62;198.45;233.88;0.741;1.12;0.896;7;6;63;;;27.60;N;3515451;2010 GV23;;;Y;0;;;;;;;;;;;;;;;;;;;12;2461000.5;61000;2025-11-21.0;J2000;259.79;1.1;2461091.61;2026-02-20.1;327;0.0033;1.28;4.08;6.42;1.7e-04;1.5e-05;1.7e-04;3.4e-03;1.6e-03;8.1e-04;2.6e-01;1.8e-05;2.6e-05;2.4e-01;7.8e-03;ATE;Otto Matic;2010-04-09;2010-04-16;.48858;;;;;;;;;
2016EM156;10 ;*    ;2116-03-19 15:09 ;3.21E-5 ;-6.25 ;0 ;14.23  ;2116-2116 ;3.45E-5 ;-6.22 ;1.974;0.5155;1.98;0.52;203.26;0.956;2.99;2.77;3;6;87;;;27.90;N;3746628;2016 EM156;;;Y;0;;;;;;;;;;;;;;;;;;;12;2461000.5;61000;2025-11-21.0;J2000;168.04;0.3555;2460527.81;2024-08-05.3;1.01e+03;0.0028;1.09;1.97;3.69;7.9e-05;3.5e-04;1.3e-05;1.3e-04;6.3e-04;1.8e-03;3.3e-01;5.3e-04;9.4e-05;8.0e-01;2.7e-01;APO;Otto Matic;2016-03-14;2016-03-17;.33298;;;;;;;;;
2016RR1;10 ;*    ;2100-09-03 12:38 ;4.73E-5 ;-6.00 ;0 ;13.06  ;2079-2119 ;1.23E-4 ;-5.59 ;1.667;0.3989;5.33;340.52;345.88;1.002;2.33;2.15;23;7;33;;;28.00;N;3758929;2016 RR1;;;Y;0;;;;;;;;;;;;;;;;;;;12;2461000.5;61000;2025-11-21.0;J2000;108.25;0.4581;2460764.21;2025-03-29.7;786;0.000674;0.262;3.02;4.16;1.8e-04;4.9e-04;1.7e-07;1.7e-03;6.2e-05;1.2e-03;6.8e-01;6.8e-04;2.0e-04;1.4e+00;3.4e-01;APO;Otto Matic;2016-09-04;2016-09-27;.52468;;;;;;;;;
2021DR;10 ;*    ;2089-02-07 16:34 ;7.97E-5 ;-5.77 ;0 ;11.70  ;2058-2119 ;1.88E-4 ;-5.34 ;0.8947;0.1483;1.48;143.03;217.83;0.762;1.03;0.846;17;6;66;;;27.78;N;54123261;2021 DR;;;Y;0;;;;;;;;;;;;;;;;;0.36;;13;2461000.5;61000;2025-11-21.0;J2000;1.50;1.165;2460999.21;2025-11-19.7;309;0.000868;0.338;4.19;6.63;4.6e-05;2.7e-05;6.4e-05;5.0e-04;5.0e-04;2.2e-03;9.0e-02;3.1e-05;5.2e-05;7.7e-02;1.4e-02;ATE;Otto Matic;2021-02-17;2021-03-06;.51789;;;;;;;;;
2014EU;10 ;*    ;2117-03-03 00:51 ;7.61E-7 ;-7.86 ;0 ;12.52  ;2083-2121 ;1.11E-6 ;-7.70 ;1.292;0.2805;0.33;186.50;288.97;0.930;1.66;1.47;24;6;47;;;27.70;N;3663464;2014 EU;;;Y;0;;;;;;;;;;;;;;;;;;;14;2461000.5;61000;2025-11-21.0;J2000;17.04;0.6708;2460975.09;2025-10-26.5;537;0.00257;1;3.45;4.98;1.3e-04;1.8e-04;3.2e-05;1.6e-04;3.7e-03;6.1e-03;6.4e-01;2.3e-04;1.4e-04;9.5e-01;1.1e-01;APO;Otto Matic;2014-03-05;2014-03-29;.51875;;;;;;;;;
